v_index	tmin	tmax	file_name	MD5_hash	creator	video_id	width	height	codec_name	bit_rate	nb_frames	pix_fmt	duration	r_frame_rate	horizontal_flip	vertical_flip
1	1.5	4	Person Going Through A Bible.mp4	e1e8e4ead382f9cc7c5af7e8e78b0248	unknown	unknown	3840	2160	h264	18732214	268	yuv420p	10.720000	25/1	0	0
2	3	5.5	Pexels Videos 2376809.mp4	9e0cf0d4b09b8172f35003f5099d0236	unknown	unknown	1920	1080	h264	4842955	146	yuv420p	6.089417	24000/1001	0	0
3	3.5	6	Pexels Videos 2786546.mp4	f11d4637de7e33cc26a9d5e39d2118f7	unknown	unknown	3840	2160	h264	21677204	454	yuv420p	18.160000	25/1	0	0
4	0	2.5	Pexels Videos 2791797.mp4	2fe8addf717a5163b5ed2b80889b74d6	unknown	unknown	3840	2160	h264	22937521	414	yuv420p	17.266667	24000/1001	0	0
5	2	4.5	Pexels Videos 2795171.mp4	99966c028d6f4f08a82d1c0771679643	unknown	unknown	3840	2160	h264	24774563	291	yuv420p	11.640000	25/1	0	0
6	0	2.5	Pexels Videos 2795731.mp4	d8d0cf09489fe9383f7432bda3ead419	unknown	unknown	3840	2160	h264	12604781	250	yuv420p	10.000000	25/1	0	0
7	1	3.5	Pexels Videos 2795736.mp4	e6f2bc881e801633b8c31cdf0c7f0e95	unknown	unknown	3840	2160	h264	9357953	340	yuv420p	13.600000	25/1	0	0
8	0	2.5	Pexels Videos 2795737.mp4	ecb22909f54e71d0cbaa31cff24094be	unknown	unknown	3840	2160	h264	15967449	497	yuv420p	19.880000	25/1	0	0
9	0.3	3.3	_import_605ee31212e1c9.52613335.mov	1f2678aaa6acda85280625855363a96b	unknown	unknown	1920	1080	prores	410733096	326	yuv422p10le	5.438767	60000/1001	0	0
10	200	250	apple_001C94AE-2BA4-4E77-A202-F7DE60E8B1C8.mov	aa2195ad25d9c48437f599feee27c36e	apple	001C94AE-2BA4-4E77-A202-F7DE60E8B1C8	3840	2160	hevc	8368180	100801	yuv420p10le	420.423332	5994/25	0	0
11	140	170	apple_009BA758-7060-4479-8EE8-FB9B40C8FB97.mov	0b9422d93d90388441e6fd30c5e7792a	apple	009BA758-7060-4479-8EE8-FB9B40C8FB97	3840	2160	hevc	9016563	67937	yuv420p10le	283.353332	5994/25	0	0
12	0	320	apple_00BA71CD-2C54-415A-A68A-8358E677D750.mov	dcb92b02bf6e30b047147f15eca644b5	apple	00BA71CD-2C54-415A-A68A-8358E677D750	3840	2160	hevc	9862597	86401	yuv420p10le	360.363334	5994/25	0	0
13	70	100	apple_03EC0F5E-CCA8-4E0A-9FEC-5BD1CE151182.mov	63eef924b5dbdea188a9d25c1722ddcf	apple	03EC0F5E-CCA8-4E0A-9FEC-5BD1CE151182	3840	2160	hevc	8442106	32865	yuv420p10le	137.073332	5994/25	0	0
14	0	220	apple_044AD56C-A107-41B2-90CC-E60CCACFBCF5.mov	e59a08ab553841fda4f53b16da7a7cf5	apple	044AD56C-A107-41B2-90CC-E60CCACFBCF5	3840	2160	hevc	9330638	57601	yuv420p10le	240.243335	5994/25	0	0
15	160	260	apple_097CA871-A1C2-40F7-97F0-EFAABF555BBC.mov	9ad7866ecd948c51aae7214f5bc42b84	apple	097CA871-A1C2-40F7-97F0-EFAABF555BBC	3840	2160	hevc	7667862	120001	yuv420p10le	500.503332	5994/25	0	0
16	350	360	apple_0C747C29-4BF8-43F6-A5CC-2E012E555341.mov	85ed92bf5f60017981ea221fe092392e	apple	0C747C29-4BF8-43F6-A5CC-2E012E555341	3840	2160	hevc	13926855	112721	yuv420p10le	470.139998	5994/25	0	0
17	0	120	apple_100858D2-FE01-4B70-8E2D-3FCF20AFE6B5.mov	b75dc8538958b8ceac859c6439fc4f87	apple	100858D2-FE01-4B70-8E2D-3FCF20AFE6B5	3840	2160	hevc	15051609	172801	yuv420p10le	720.723332	5994/25	0	0
18	120	130	apple_1088217C-1410-4CF7-BDE9-8F573A4DBCD9.mov	39d768c7bdc1c640506efdbe94a92b89	apple	1088217C-1410-4CF7-BDE9-8F573A4DBCD9	3840	2160	hevc	7409305	50401	yuv420p10le	210.213334	5994/25	0	0
19	0	120	apple_12718607-0FE6-4B8C-B571-A320CDD67897.mov	034b658b7802f175666dee60bc44ca00	apple	12718607-0FE6-4B8C-B571-A320CDD67897	3840	2160	hevc	12814212	136801	yuv420p10le	570.573332	5994/25	0	0
20	200	235	apple_12E0343D-2CD9-48EA-AB57-4D680FB6D0C7.mov	65d110ef900fd57ef2c489f017193114	apple	12E0343D-2CD9-48EA-AB57-4D680FB6D0C7	3840	2160	hevc	9779039	57601	yuv420p10le	240.243335	5994/25	0	0
21	10	25	apple_149E7795-DBDA-4F5D-B39A-14712F841118.mov	c51bd44c1c3ea62d5feecafd4f1cc5df	apple	149E7795-DBDA-4F5D-B39A-14712F841118	3840	2160	hevc	12839092	23249	yuv420p10le	96.966667	5994/25	0	0
22	90	180	apple_15A8BC97-45AC-45DC-9AF9-313808C578BC.mov	625c6820a8766838212eea56b3e5fd44	apple	15A8BC97-45AC-45DC-9AF9-313808C578BC	3840	2160	hevc	12596481	94161	yuv420p10le	392.730001	5994/25	0	0
23	0	20	apple_1A17ED86-9E0D-4DF2-8CF3-5AB5DB67A348.mov	a6bec57da0aa02342a53ed5ff213569b	apple	1A17ED86-9E0D-4DF2-8CF3-5AB5DB67A348	3840	2160	hevc	11307683	93169	yuv420p10le	388.591667	5994/25	0	0
24	150	210	apple_22162A9B-DB90-4517-867C-C676BC3E8E95.mov	613c9a555e3e8e90da0cf26ec33a0ece	apple	22162A9B-DB90-4517-867C-C676BC3E8E95	3840	2160	hevc	9274206	69121	yuv420p10le	288.291667	5994/25	0	0
25	60	120	apple_258A6797-CC13-4C3A-AB35-4F25CA3BF474.mov	3f84ee5bd3c0f5cda9b2b03b88a420f6	apple	258A6797-CC13-4C3A-AB35-4F25CA3BF474	3840	2160	hevc	7584187	57601	yuv420p10le	240.243335	5994/25	0	0
26	0	240	apple_25A6CFB2-3570-4448-B114-244A4E454B7A.mov	fe1b355c2afc3030ba8274f6eaa79d16	apple	25A6CFB2-3570-4448-B114-244A4E454B7A	3840	2160	hevc	15817754	71169	yuv420p10le	296.833333	5994/25	0	0
27	115	125	apple_27A37B0F-738D-4644-A7A4-E33E7A6C1175.mov	6283d4970f7ef78b89b0ab6e8ebb6edd	apple	27A37B0F-738D-4644-A7A4-E33E7A6C1175	3840	2160	hevc	13006959	57601	yuv420p10le	240.239999	239763/1000	0	0
28	150	170	apple_29BDF297-EB43-403A-8719-A78DA11A2948.mov	73162522e4f251b2eb1e2be8b690adb0	apple	29BDF297-EB43-403A-8719-A78DA11A2948	3840	2160	hevc	8508434	57601	yuv420p10le	240.243335	5994/25	0	0
29	0	30	apple_2B30E324-E4FF-4CC1-BA45-A958C2D2B2EC.mov	99c1e821326a35e97ba3205049389ae4	apple	2B30E324-E4FF-4CC1-BA45-A958C2D2B2EC	3840	2160	hevc	13163649	32673	yuv420p10le	136.273332	5994/25	0	0
30	130	160	apple_2F17FCCE-6CCA-4AFA-A08A-C50BF9812DA5.mov	5d3977a4cb1541ace37e8738cbe84c24	apple	2F17FCCE-6CCA-4AFA-A08A-C50BF9812DA5	3840	2160	hevc	14173496	120449	yuv420p10le	502.371668	5994/25	0	0
31	370	430	apple_2F52E34C-39D4-4AB1-9025-8F7141FAA720.mov	ffc3059e5ac3971e37d8ee66f62398ac	apple	2F52E34C-39D4-4AB1-9025-8F7141FAA720	3840	2160	hevc	8210184	144001	yuv420p10le	600.603332	5994/25	0	0
32	235	255	apple_2F72BC1E-3D76-456C-81EB-842EBA488C27.mov	78181d092f25fd3d1b30c4e8c8e24f42	apple	2F72BC1E-3D76-456C-81EB-842EBA488C27	3840	2160	hevc	9233247	79233	yuv420p10le	330.466667	5994/25	0	0
33	60	64	apple_35693AEA-F8C4-4A80-B77D-C94B20A68956.mov	bc71f532e112fc868f3cffc76186d2a1	apple	35693AEA-F8C4-4A80-B77D-C94B20A68956	3840	2160	hevc	7891816	50401	yuv420p10le	210.213334	5994/25	0	0
